n_run,conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,second_run,compile_time
12,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00047087669372558594,0.0003077983856201172,0.00024700164794921875,0.0002124309539794922,0.3045158386230469,0.00025582313537597656,0.5855498313903809,0.0003762245178222656,0.5851736068725586
12,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.010817766189575195,0.0003814697265625,0.0004107952117919922,0.0003769397735595703,0.2913086414337158,0.00030040740966796875,0.5794558525085449,0.00037598609924316406,0.5790798664093018
12,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.008913755416870117,0.0003211498260498047,0.0010159015655517578,0.0009629726409912109,0.2806432247161865,0.0003733634948730469,0.5997271537780762,0.0005183219909667969,0.5992088317871094
12,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00046443939208984375,0.00029015541076660156,0.0035142898559570312,0.003421306610107422,0.29346370697021484,0.0007419586181640625,0.6614913940429688,0.0011937618255615234,0.6602976322174072
12,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0005035400390625,0.00032210350036621094,0.008675813674926758,0.007606983184814453,0.28503918647766113,0.0013852119445800781,0.6145882606506348,0.0025107860565185547,0.6120774745941162
12,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004069805145263672,0.000392913818359375,0.013181686401367188,0.01388406753540039,0.3101327419281006,0.002103090286254883,0.6206624507904053,0.0046765804290771484,0.6159858703613281
13,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0005316734313964844,0.00034737586975097656,0.0006465911865234375,0.0002346038818359375,0.33211278915405273,0.0003097057342529297,0.5827286243438721,0.0003733634948730469,0.582355260848999
13,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.006777048110961914,0.0002841949462890625,0.0008320808410644531,0.00037169456481933594,0.29558277130126953,0.0003046989440917969,0.6045887470245361,0.0004124641418457031,0.6041762828826904
13,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.006059169769287109,0.0003120899200439453,0.0010914802551269531,0.001016855239868164,0.2933650016784668,0.00037097930908203125,0.5922441482543945,0.0005276203155517578,0.5917165279388428
13,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.004010677337646484,0.00030875205993652344,0.0038764476776123047,0.003445148468017578,0.3404059410095215,0.0007038116455078125,0.6179728507995605,0.0012650489807128906,0.6167078018188477
13,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0004138946533203125,0.0002694129943847656,0.010059595108032227,0.007554292678833008,0.27956342697143555,0.0014004707336425781,0.5960958003997803,0.002503633499145508,0.5935921669006348
13,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00044608116149902344,0.00030994415283203125,0.013181209564208984,0.01310420036315918,0.27912187576293945,0.002134561538696289,0.6263978481292725,0.005017995834350586,0.6213798522949219
14,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00043845176696777344,0.00032258033752441406,0.00020503997802734375,0.00021982192993164062,0.32228708267211914,0.0002872943878173828,0.6434807777404785,0.0003993511199951172,0.6430814266204834
14,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0034952163696289062,0.0003139972686767578,0.0069675445556640625,0.00036907196044921875,0.2972424030303955,0.00027751922607421875,0.6031174659729004,0.00037980079650878906,0.6027376651763916
14,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.009178400039672852,0.0003132820129394531,0.0010499954223632812,0.0009272098541259766,0.27937889099121094,0.0003342628479003906,0.5912501811981201,0.0005366802215576172,0.5907135009765625
14,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0006308555603027344,0.0003120899200439453,0.003840208053588867,0.0034744739532470703,0.30627012252807617,0.0006880760192871094,0.6511030197143555,0.001237630844116211,0.6498653888702393
14,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0006475448608398438,0.0003113746643066406,0.008804082870483398,0.0077877044677734375,0.32352566719055176,0.006239891052246094,0.7681112289428711,0.0025267601013183594,0.7655844688415527
14,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.003621816635131836,0.00034117698669433594,0.014337301254272461,0.014244318008422852,0.3382573127746582,0.002169370651245117,0.6193764209747314,0.0049130916595458984,0.6144633293151855
15,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0005695819854736328,0.0003962516784667969,0.00025391578674316406,0.00022983551025390625,0.3102447986602783,0.0003445148468017578,0.8653230667114258,0.0003669261932373047,0.8649561405181885
15,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.011069774627685547,0.00031685829162597656,0.0003993511199951172,0.0003676414489746094,0.29192352294921875,0.0002961158752441406,0.6412911415100098,0.0003504753112792969,0.6409406661987305
15,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0021746158599853516,0.00031638145446777344,0.0015010833740234375,0.0010433197021484375,0.2954990863800049,0.00036644935607910156,0.5845241546630859,0.0005223751068115234,0.5840017795562744
15,f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.000476837158203125,0.00030994415283203125,0.0035316944122314453,0.0035855770111083984,0.2846956253051758,0.0007014274597167969,0.599600076675415,0.0011816024780273438,0.5984184741973877
15,f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0003800392150878906,0.0003173351287841797,0.007595539093017578,0.007578134536743164,0.30441784858703613,0.0013628005981445312,0.6271531581878662,0.002511739730834961,0.6246414184570312
15,f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0005018711090087891,0.0003161430358886719,0.014358758926391602,0.013241052627563477,0.28394269943237305,0.0021483898162841797,0.622575044631958,0.004961252212524414,0.6176137924194336
16,f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.001626729965209961,0.0002830028533935547,0.0008106231689453125,0.00018668174743652344,0.3274526596069336,0.0002682209014892578,0.6959645748138428,0.00041961669921875,0.695544958114624
16,f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.007088899612426758,0.0003190040588378906,0.0004360675811767578,0.0003750324249267578,0.2983412742614746,0.0003135204315185547,0.5903017520904541,0.0003921985626220703,0.589909553527832
16,f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00047588348388671875,0.00027561187744140625,0.005834341049194336,0.0010151863098144531,0.3107907772064209,0.0003666877746582031,0.709975004196167,0.0005297660827636719,0.7094452381134033
