conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,voltage,current,power,aiclk,temp, iters
f16_m4,5120,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1146.8957960352175,294.8018314256404,20761.878445984574,20744.152076399627,3059.2157200433458,3012.809000537379,13029.021873061596,0.7599800000000003,43.02,33.315,1000.0,50.5440625,100
f16_m4,6144,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1237.7496525345823,308.1423380162068,30159.587037921974,30115.02054206978,4538.120326715901,4496.214347604528,21627.503819686895,0.7599700000000003,43.01,33.43,1000.0,50.675625,100
f16_m4,7168,"(8, 4)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,762.2500304360924,288.9259596777818,40491.32413659739,40485.32070700813,5773.823714215437,5744.173245797548,34670.263888358895,0.7599700000000005,43.08,33.63,1000.0,50.734375,100
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1896.6844589955278,502.37005491865233,641.4125533952813,471.613608993824,685.2870615130406,475.62661682722137,583.2962583571502,0.7600000000000002,35.0,25.0,1000.0,49.57125,100
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,271.05771168540866,194.6338884318293,357.33126042609587,356.9203978706745,258.34489308169435,244.87091698524958,314.8523428808883,0.7599700000000003,35.0,25.76,1000.0,49.6825,100
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,273.8113197841984,204.63992836963035,954.9760128294436,919.3433500564174,342.41562231620907,319.1852652227647,435.5959269350574,0.7599800000000002,35.71,26.71,1000.0,49.61625,100
f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,5246.617783871063,723.9768203328485,5056.686895603456,3624.5295250721088,1675.2833546967356,1148.7682165605236,1169.2104324222191,0.7599500000000002,40.61,31.6,1000.0,49.81,100
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,3723.75521544715,522.9331318413956,8244.430627851978,7678.4297100682725,1784.362664402906,1543.7695687529133,2440.7723488386587,0.7599800000000003,42.37,33.0,1000.0,49.98,100
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1092.1402021412725,316.53429498535564,13426.488473717896,13358.838027497743,2172.0862388121736,2098.8136392822,4459.479406973769,0.7599300000000003,42.66,33.0,1000.0,50.196875,100
f16_m4,5120,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,812.8417966551996,296.7594812211582,20710.680441992143,20679.65961236711,3068.0148416104494,3020.2016922702687,7816.3219817998315,0.7599900000000003,42.93,33.05,1000.0,50.20625,100
f16_m4,6144,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,819.9474710785826,325.0218815197146,30250.83073372277,30219.373637426856,4527.165388866289,4493.297745895664,12770.564517100944,0.7599900000000004,42.98,33.39,1000.0,50.294375,100
f16_m4,7168,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1038.1896705123022,295.02006303536876,40490.43043735559,40441.121823719506,5780.359269089609,5746.042048100483,19139.004241903138,0.7599300000000003,42.99,33.58,1000.0,50.524375,100
f16_m4,256,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,729.1837483745114,522.7589371265037,576.0610515008044,370.88423145249254,586.4346211862015,401.16280228902,369.6968476195801,0.7600000000000002,35.0,26.0,1000.0,49.3125,100
f16_m4,512,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,218.06467059029302,195.26010685424748,322.10617960753547,324.52880602009714,247.2265413119551,218.64741982373172,296.7979310014755,0.7599800000000002,35.0,26.0,1000.0,49.373125,100
f16_m4,1024,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,343.2114632773632,286.31027297587275,967.5269132455475,1120.3312915497963,556.8792825017547,378.1032561722074,462.6990835580311,0.7600100000000002,36.49,27.49,1000.0,49.455625,100
f16_m4,2048,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,4191.803991536686,616.1197238968905,4874.6441167305775,3725.58588710201,1236.5064361293103,976.577903975108,1132.1608732291688,0.7599900000000003,41.88,32.82,1000.0,49.664375,100
f16_m4,3072,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,2685.764961110331,365.2324768384673,8238.972892136293,7940.4577955904215,1617.987487859775,1528.6499373006823,2001.0827418426263,0.7599500000000002,42.32,33.01,1000.0,49.8440625,100
f16_m4,4096,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1612.4937288106016,370.50070135429667,13502.954646308544,13549.201995312073,2262.3110591304185,2164.0570309606314,3800.1422445783865,0.7599900000000003,42.39,32.92,1000.0,50.05125,100
f16_m4,5120,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1123.7262537091535,286.30812991686344,20664.762671819477,20608.608397892534,3032.372326871202,3020.8557578609293,7220.499554838425,0.7600350000000003,42.925,33.06,1000.0,50.183125,100
f16_m4,6144,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,810.1958200989483,308.06412422696457,29744.57076116073,29676.5942326024,4513.755878553061,4488.853631618903,10425.580003016921,0.7600150000000002,43.04,33.38,999.715,50.320625,100
f16_m4,7168,"(8, 9)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,637.577220975788,304.33578363954194,40430.50722017001,40488.26292299355,5775.344592838319,5757.420501019299,15726.199723440182,0.7599600000000002,43.0,33.46,1000.0,50.458125,100
