conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,inference_avg,iters
f16_m4,4096,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1203.0597636964474,411.51620207422667,13621.445585466965,13562.702203621611,2165.8909867942543,2136.017542239969,3754.7601987035823,300
f16_m4,5120,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1413.855990586499,353.7905578012766,21403.5909648819,21378.518880130392,3087.4522488219854,3081.8879346162626,7269.30519774158,300
f16_m4,6144,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,555.7200131626614,288.2406857074017,29458.457185196166,29488.66299122831,4501.622854612728,4474.051909465471,10363.450208337134,300
f16_m4,7168,"(8, 12)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,518.4172367230225,346.9509105135561,41381.58588187191,41457.26308056836,5849.430823701855,5843.728830239688,15758.578743337634,300
f16_m4,256,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,347.12998400266895,217.00153539881853,232.51180194916174,185.37619401483414,398.5858660751093,225.53715414505362,310.63275552702333,100
f16_m4,512,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,324.56785114296224,231.22316731393332,485.0872321046888,353.3630210479259,300.6608812543946,256.72609621602265,464.9075843419348,100
f16_m4,1024,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,513.7613029961274,231.77302445410464,1153.4382838512981,1057.1926445362099,381.5088624406531,427.83648045446574,1767.764411966844,100
f16_m4,2048,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,769.3881736382049,259.27558900724995,3913.3537110812645,3530.5668906049286,722.495389274573,702.4527179432858,11458.1690397406,100
f16_m4,3072,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,501.5276006350908,285.90531935376123,7934.438161049913,7674.651663021885,1488.6221742749185,1419.985825939993,37210.62024686843,100
f16_m4,4096,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1201.0126819080408,327.6094642426045,13469.202266957614,13393.49750346474,2174.476993611636,2202.0633948432287,87097.91540188025,100
f16_m4,5120,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,8983.017434154453,376.6914589802801,21193.242310662612,21680.503933078035,3097.7976364753467,3311.7970556810888,168955.2981582397,100
f16_m4,6144,"(1, 2)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,24241.4763603236,480.2477566880354,32701.242454029394,32645.51973515629,4694.149148678961,4700.273130835025,290773.69130020303,100
